"DocEntry","TaxId0","TaxId1","TaxId2","TaxId3","TaxId4","TaxId5","TaxId6","TaxId7","TaxId8","TaxId9","State","County","Incoterms","Vehicle","VidState","NfRef","Carrier","QoP","PackDesc","Brand","NoSU","NetWeight","GrsWeight","LogInstanc","ObjectType","TaxId10","TransCat","FormNo","TaxId11","StreetS","BlockS","BuildingS","CityS","ZipCodeS","CountyS","StateS","CountryS","AddrTypeS","StreetNoS","StreetB","BlockB","BuildingB","CityB","ZipCodeB","CountyB","StateB","CountryB","AddrTypeB","StreetNoB","ImpORExp","Vat","AltCrdNamB","AltTaxIdB","Address2S","Address3S","Address2B","Address3B","MainUsage","GlbLocNumS","GlbLocNumB","CollectDT","TransprtDT","TransprtRS","TaxId12","TaxId13","ImpExpNo","ImpExpDate","BpGSTType","BpGSTN","BpStateCod","BPStatGSTN","LocGSTType","LocGSTN","LocStatCod","LocStaGSTN","BpCountry","OrigImpNo","OrigImpDat","ExportType","PortCode"
103,"NOTABILALE","","","","","","","","","","DL",,,,,,,,,,,"0.000000","0.000000",0,"17","",,,"","VASANT SQAURE MALL, UNIT NO. 26, IST FLOOR, SECTOR-B","VASAN KUNJ, North Delhi","","Delhi","110070",,"DL","IN","S",,"VASANT SQAURE MALL, UNIT NO. 26, IST FLOOR, SECTOR-B","VASAN KUNJ, North Delhi","","Delhi","110070",,"DL","IN","B",,"N","N",,,,,,,,,,,,,,,,,1,"07AAACH9867M1ZV","DL","7",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
95,"AAACD7999Q","","","","","","","","","","AP",,,,,,,,,,,"0.000000","0.000000",0,"17","",,,"","8 2 337 Road No 3","Banjara Hills Hyderabad","",,"500034",,"AP","IN","S",,"8 2 337 Road No 3","Banjara Hills Hyderabad","",,"500034",,"AP","IN","B",,"N","N",,,,,,,,,,,,,,,,,1,"36AAACD7999Q1ZL","AP","28",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
51,"AAACD7999Q","","","","","","","","","","AP",,,,,,,,,,,"0.000000","0.000000",0,"17","",,,"","8 2 337 Road No 3","Banjara Hills Hyderabad","",,"500034",,"AP","IN","S",,"8 2 337 Road No 3","Banjara Hills Hyderabad","",,"500034",,"AP","IN","B",,"N","N",,,,,,,,,,,,,,,,,1,"36AAACD7999Q1ZL","AP","28",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
98,"AAACD7999Q","","","","","","","","","","AP",,,,,,,,,,,"0.000000","0.000000",0,"17","",,,"","8 2 337 Road No 3","Banjara Hills Hyderabad","",,"500034",,"AP","IN","S",,"8 2 337 Road No 3","Banjara Hills Hyderabad","",,"500034",,"AP","IN","B",,"N","N",,,,,,,,,,,,,,,,,1,"36AAACD7999Q1ZL","AP","28",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
49,"AAACD7999Q","","","","","","","","","","AP",,,,,,,,,,,"0.000000","0.000000",0,"17","",,,"","8 2 337 Road No 3","Banjara Hills Hyderabad","",,"500034",,"AP","IN","S",,"8 2 337 Road No 3","Banjara Hills Hyderabad","",,"500034",,"AP","IN","B",,"N","N",,,,,,,,,,,,,,,,,1,"36AAACD7999Q1ZL","AP","28",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
70,,,,,,,,,,,"MH",,,,,,,,,,,"0.000000","0.000000",0,"17",,,,,"Head Office-Mumbai ISD","Sun House, Plot No. 201 B/1 Western Express Highway",,"Goregaon(E )MUMBAI","400063",,"MH","IN",,,"Head Office-Mumbai ISD","Sun House, Plot No. 201 B/1 Western Express Highway",,"Goregaon (E ),MUMBAI","400063",,"MH","IN",,,"N","N",,,,,,,,,,,,,,,,,1,"27AADCS3124K2ZC","MH","27",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
113,"AAECS6982Q","","","","","","","","","","TS",,,,,,,,,,,"0.000000","0.000000",0,"17","",,,"","Medchal Plant-EOU, Survey# 17A,","Athvelli Village, Medchal Mandal, Ranga Reddy Dist,","","Hyderabad","501401",,"TS","IN","S",,"Medchal Plant-EOU, Survey# 17A,","Athvelli Village, Medchal Mandal, Ranga Reddy Dist,","","Hyderabad","501401",,"TS","IN","B",,"N","N",,,,,,,,,,,,,,,,,1,"36AAECS6982Q1ZD","TS","36",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
112,"AAACD7999Q","","","","","","","","","","AP",,,,,,,,,,,"0.000000","0.000000",0,"17","",,,"","8 2 337 Road No 3","Banjara Hills Hyderabad","",,"500034",,"AP","IN","S",,"8 2 337 Road No 3","Banjara Hills Hyderabad","",,"500034",,"AP","IN","B",,"N","N",,,,,,,,,,,,,,,,,1,"36AAACD7999Q1ZL","AP","28",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
108,,,,,,,,,,,"MH",,,,,,,,,,,"0.000000","0.000000",0,"17",,,,,"Head Office-Mumbai ISD","Sun House, Plot No. 201 B/1 Western Express Highway",,"Goregaon(E )MUMBAI","400063",,"MH","IN",,,"Head Office-Mumbai ISD","Sun House, Plot No. 201 B/1 Western Express Highway",,"Goregaon (E ),MUMBAI","400063",,"MH","IN",,,"N","N",,,,,,,,,,,,,,,,,1,"27AADCS3124K2ZC","MH","27",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
105,,,,,,,,,,,"MH",,,,,,,,,,,"0.000000","0.000000",0,"17",,,,,"Head Office-Mumbai ISD","Sun House, Plot No. 201 B/1 Western Express Highway",,"Goregaon(E )MUMBAI","400063",,"MH","IN",,,"Head Office-Mumbai ISD","Sun House, Plot No. 201 B/1 Western Express Highway",,"Goregaon (E ),MUMBAI","400063",,"MH","IN",,,"N","N",,,,,,,,,,,,,,,,,1,"27AADCS3124K2ZC","MH","27",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
40,,,,,,,,,,,"MH",,,,,,,,,,,"0.000000","0.000000",0,"18",,,,,,"Unit 2-A","STPI-Rajiv Gandhi Infotech Park","Pune","411057",,"MH","IN","Official","Hinjewadi Phase-1","Laxmi Nivas Building","NDA Road Shivane Pune","",,"411023",,"MH","IN","B",,"N","N",,,,,,,,,,,,,"V00002",,,,1,"27BAIPP0468E1ZN","MH","27",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
41,"AQQPP3684H","","","","","","","","","","MH",,,,,,,,,,,"0.000000","0.000000",0,"18","",,,"",,"Unit 2-A","STPI-Rajiv Gandhi Infotech Park","Pune","411057",,"MH","IN","Official","Hinjewadi Phase-1","Flat no 301,Next to Tambe high school","Rahatani","","Pune","411017",,"MH","IN","B",,"N","N",,,,,,,,,,,,,"V00002","",,,1,"27ALAPR2537C1ZD","MH","27",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
48,,,,,,,,,,,"GJ",,,,,,,,,,,"0.000000","0.000000",0,"17",,,,,"Achalraj Build","Opp. Mayor Bunglow Law Garden Ahmedabad","",,"380006",,"GJ","IN","S",,"Achalraj Build","Opp. Mayor Bunglow Law Garden Ahmedabad","",,"380006",,"GJ","IN","B",,"N","N",,,,,,,,,,,,,,,,,1,"24AANCA2426J1ZQ","GJ","24",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
106,"AAACD7999Q","","","","","","","","","","AP",,,,,,,,,,,"0.000000","0.000000",0,"17","",,,"","8 2 337 Road No 3","Banjara Hills Hyderabad","",,"500034",,"AP","IN","S",,"8 2 337 Road No 3","Banjara Hills Hyderabad","",,"500034",,"AP","IN","B",,"N","N",,,,,,,,,,,,,,,,,1,"36AAACD7999Q1ZL","AP","28",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
89,,,,,,,,,,,"MH",,,,,,,,,,,"0.000000","0.000000",0,"17",,,,,"39","Shankar Nagar","",,"440010",,"MH","IN","S",,"39","Shankar Nagar Nagpur","",,"440010",,"MH","IN","B",,"N","N",,,,,,,,,,,,,"C00003",,,,1,"27AAACB5860A1Z3","MH","27",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
91,"AAECR6450Q","","","","","","","","","","CG",,,,,,,,,,,"0.000000","0.000000",0,"17","",,,"","Vill-Paragha,  PO: Jiaramnagar,","Teshil Masturi","","Bilaspur","495550",,"CG","IN","S",,"Vill-Paragha,  PO: Jiaramnagar,","Teshil Masturi","","Bilaspur","495550",,"CG","IN","B",,"N","N",,,,,,,,,,,,,,,,,1,"22AAECR6450Q1Z0","CG","22",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
116,"AAECR6450Q","","","","","","","","","","CG",,,,,,,,,,,"0.000000","0.000000",0,"17","",,,"","Vill-Paragha,  PO: Jiaramnagar,","Teshil Masturi","","Bilaspur","495550",,"CG","IN","S",,"Vill-Paragha,  PO: Jiaramnagar,","Teshil Masturi","","Bilaspur","495550",,"CG","IN","B",,"N","N",,,,,,,,,,,,,,,,,1,"22AAECR6450Q1Z0","CG","22",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
90,"NOTABILALE","","","","","","","","","","DL",,,,,,,,,,,"0.000000","0.000000",0,"17","",,,"","VASANT SQAURE MALL, UNIT NO. 26, IST FLOOR, SECTOR-B","VASAN KUNJ, North Delhi","","Delhi","110070",,"DL","IN","S",,"VASANT SQAURE MALL, UNIT NO. 26, IST FLOOR, SECTOR-B","VASAN KUNJ, North Delhi","","Delhi","110070",,"DL","IN","B",,"N","N",,,,,,,,,,,,,,,,,1,"07AAACH9867M1ZV","DL","7",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
101,,,,,,,,,,,"MH",,,,,,,,,,,"0.000000","0.000000",0,"17",,,,,"Head Office-Mumbai ISD","Sun House, Plot No. 201 B/1 Western Express Highway",,"Goregaon(E )MUMBAI","400063",,"MH","IN",,,"Head Office-Mumbai ISD","Sun House, Plot No. 201 B/1 Western Express Highway",,"Goregaon (E ),MUMBAI","400063",,"MH","IN",,,"N","N",,,,,,,,,,,,,,,,,1,"27AADCS3124K2ZC","MH","27",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
102,"AAECS6982Q","","","","","","","","","","TS",,,,,,,,,,,"0.000000","0.000000",0,"17","",,,"","Medchal Plant-EOU, Survey# 17A,","Athvelli Village, Medchal Mandal, Ranga Reddy Dist,","","Hyderabad","501401",,"TS","IN","S",,"Medchal Plant-EOU, Survey# 17A,","Athvelli Village, Medchal Mandal, Ranga Reddy Dist,","","Hyderabad","501401",,"TS","IN","B",,"N","N",,,,,,,,,,,,,,,,,1,"36AAECS6982Q1ZD","TS","36",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
117,,,,,,,,,,,"MH",,,,,,,,,,,"0.000000","0.000000",0,"17",,,,,"Near Post Office  Itwari","Nagpur","",,"440002",,"MH","IN","S",,"Near Post Office  Itwari","Nagpur","",,"440002",,"MH","IN","B",,"N","N",,,,,,,,,,,,,"C00008",,,,1,"27AAEFT0286F1Z7","MH","27",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
119,,,,,,,,,,,"NJ",,,,,,,,,,,"0.000000","0.000000",0,"17",,,,,"33 Tower Road","Edison","",,"8820",,"NJ","US","S",,"33 Tower Road","Edison","",,"8820",,"NJ","US","B",,"Y","N",,,,,,,,,,,,,"C00004",,,,,,"MH","27",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
120,"AAATS2468J","","","","","","","","","","MH",,,,,,,,,,,"0.000000","0.000000",0,"18","",,,"","STPI, P-1, Hinjiwadi Phase-1","Unit 2-A",,"Pune","411057",,"MH","IN",,,"Rajiv gandhi IT park Phase I","Hinjewadi Pune","",,"411057",,"MH","IN","B",,"N","N",,,,,,,,,,,,,"V00019","",,,1,"27AAATS2468J1Z6","MH","27",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
121,"AAATS2468J","","","","","","","","","","MH",,,,,,,,,,,"0.000000","0.000000",0,"18","",,,"","STPI, P-1, Hinjiwadi Phase-1","Unit 2-A",,"Pune","411057",,"MH","IN",,,"Rajiv gandhi IT park Phase I","Hinjewadi Pune","",,"411057",,"MH","IN","B",,"N","N",,,,,,,,,,,,,"V00019","",,,1,"27AAATS2468J1Z6","MH","27",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
38,"AAATS2468J","","","","","","","","","","MH",,,,,,,,,,,"0.000000","0.000000",0,"18","",,,"",,"Unit 2-A","STPI-Rajiv Gandhi Infotech Park","Pune","411057",,"MH","IN","Official","Hinjewadi Phase-1","Rajiv gandhi IT park Phase I","Hinjewadi Pune","",,"411057",,"MH","IN","B",,"N","N",,,,,,,,,,,,,"V00019","",,,1,"27AAATS2468J1Z6","MH","27",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
39,"AAATS2468J","","","","","","","","","","MH",,,,,,,,,,,"0.000000","0.000000",0,"18","",,,"",,"Unit 2-A","STPI-Rajiv Gandhi Infotech Park","Pune","411057",,"MH","IN","Official","Hinjewadi Phase-1","Rajiv gandhi IT park Phase I","Hinjewadi Pune","",,"411057",,"MH","IN","B",,"N","N",,,,,,,,,,,,,"V00019","",,,1,"27AAATS2468J1Z6","MH","27",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
92,,,,,,,,,,,"MH",,,,,,,,,,,"0.000000","0.000000",0,"17",,,,,"Near Post Office  Itwari","Nagpur","",,"440002",,"MH","IN","S",,"Near Post Office  Itwari","Nagpur","",,"440002",,"MH","IN","B",,"N","N",,,,,,,,,,,,,"C00008",,,,1,"27AAEFT0286F1Z7","MH","27",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
118,,,,,,,,,,,"MH",,,,,,,,,,,"0.000000","0.000000",0,"17",,,,,"Near Post Office  Itwari","Nagpur","",,"440002",,"MH","IN","S",,"Near Post Office  Itwari","Nagpur","",,"440002",,"MH","IN","B",,"N","N",,,,,,,,,,,,,"C00008",,,,1,"27AAEFT0286F1Z7","MH","27",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
52,"AAACK1375K","","","","","","","","","","PB",,,,,,,,,,,"0.000000","0.000000",0,"17","",,,"","NH-3,Bypass Opp. Metro Cash & Carry","G.P.O","","Amritsar 143001","143001",,"PB","IN","S",,"NH-3,Bypass Opp. Metro Cash & Carry","G.P.O Amritsar","","Amritsar","143001",,"PB","IN","B",,"N","N",,,,,,,,,,,,,,,,,1,"03AAACK1375K1ZP","PB","3",1,"27AADCC3178R1Z1","MH","27","IN",,,"E",
